家數, 衛生所名稱, 郵遞區號, 單位地址, 電話
291, 屏東縣新園鄉衛生所, 932, 屏東縣新園鄉仙吉村仙吉路89-2號, 08-8681293
292, 屏東縣獅子鄉衛生所, 943, 屏東縣獅子鄉楓林村楓林二巷31號, 08-8771324
293, 屏東縣萬丹鄉衛生所, 913, 屏東縣萬丹鄉四維村萬丹路一段501號, 08-7772049
294, 屏東縣萬巒鄉衛生所, 923, 屏東縣萬巒鄉萬全村褒忠路14-2號, 08-7811794
295, 屏東縣滿州鄉衛生所, 947, 屏東縣滿州鄉滿州村中山路31號, 08-8801279
296, 屏東縣瑪家鄉衛生所, 903, 屏東縣瑪家鄉北葉村風景巷86號, 08-7991164
297, 屏東縣潮州鎮衛生所, 920, 屏東縣潮州鎮三共里永坤路107號, 08-7882131
298, 屏東縣霧台鄉衛生所, 902, 屏東縣霧台鄉霧台村神山巷68號, 08-7902232
299, 屏東縣麟洛鄉衛生所, 909, 屏東縣麟洛鄉麟蹄村中山路156-1號, 08-7221152
300, 屏東縣鹽埔鄉衛生所, 907, 屏東縣鹽埔鄉鹽北村勝利路187號, 08-7931376
301, 新竹市東區衛生所, 300, 新竹市東區民族路40之2號, 03-5236158
302, 新竹市北區衛生所, 300, 新竹市北區國華街69號, 03-5353969
303, 新竹市香山衛生所, 300, 新竹市香山區育德街188號1樓, 03-5388109
